"#symbol","logFC","logCPM","LR","PValue","adj.p"
"RECQL",-1.46882221730172,5.62986101209235,20.2679291035152,6.73196170554789e-06,0.000792947248395808
"VPS50",-0.652790066684111,5.11928311080197,2.72506022583312,0.0987843952671197,0.495193878420583
"HSPB6",-0.0970779879028126,1.1215863263979,0.0111681414607268,0.915836703170162,1
"ARHGAP33",-1.05114141811881,3.76767862898062,6.1558192317216,0.0130980434711448,0.139267347862995
"NDUFAB1",-1.10171754730289,4.63270384561657,9.17609072777494,0.00245197194736189,0.0462176927106521
"PDK4",0.247799908895368,2.95168256837891,0.135457243938149,0.712839556871251,1
"SLC22A16",-2.22210461982438,4.45625898354415,20.8388125318897,4.99601919041333e-06,0.00063858551704785
"ZMYND10",0.75431976222463,2.65665086193772,2.62305666305124,0.105321381532804,0.515452367472783
"ABCB5",0.764449239879374,2.32837180445575,2.21953311585988,0.136274264584396,0.601731441794117
"ARX",0.039840792411769,1.10657059985993,0.00414728150047738,0.948652215308845,1
"SLC25A13",0.123463655715842,4.65027321601137,0.151121565625234,0.697465845963492,1
"ST7",0.60051800536354,4.63439990651198,1.36183033278156,0.243220520694152,0.849316247112546
"CDC27",-0.0482741520495193,6.27437376136191,0.023160024438952,0.879041671683359,1
"SLC4A1",-4.46826560335804,7.65109692946888,14.1694783976256,0.000167058546056686,0.00757510986885149
"CALCR",0.454323367144618,1.11435971897245,0.368818998926848,0.543648719661007,1
"HCCS",-0.511831180364886,3.29136532440537,1.41619294341653,0.234031043674373,0.831892067513734
"DVL2",0.0230906916706945,5.30558058048827,0.00651350083559432,0.935675556169169,1
"PRSS22",0.206747521116936,1.11266524846142,0.0721313120315498,0.788258498733682,1
"UPF1",-0.101851868296689,6.32936085824973,0.117074664515401,0.732229167413006,1
"SKAP2",-0.841198879277081,6.06809186244318,5.52749900200329,0.0187198450936971,0.175200088940593
"SLC25A5",-0.307790422554426,7.23434597934859,0.814418491481598,0.366817138423582,1
"MCUB",1.19061396161186,4.71573760311393,3.84634533064758,0.0498545110023517,0.32089507565145
"HOXA11",-3.99758826655055,2.00488603963741,7.87496944293134,0.005012371842033,0.0741717164846403
"POLR2J",-0.523769907333866,4.40207674980127,2.52217089704036,0.112255949295816,0.536531905042395
"DHX33",-0.878491256969853,4.30858154634484,5.85565691097944,0.0155270614401475,0.155126502645527
"MEOX1",0.502277838843398,1.22298864493427,0.192854774280286,0.660551159104122,1
"THSD7A",-3.24545359374018,5.58476281122754,6.6743897630039,0.00978079935209612,0.114635029638131
"LIG3",0.035522098628612,6.69039869699887,0.0146417628357396,0.90368853846984,1
"RPAP3",-0.484805616339074,4.88876023969289,2.78866949065376,0.0949330193130612,0.484413238286666
"ACSM3",-0.243356270690436,6.37419761329025,0.229218894817279,0.632103611967596,1
"REXO5",-0.185628765399693,4.85560814343014,0.205311629916833,0.650467184783192,1
"CIAPIN1",-0.218943105279795,4.95027369983027,0.527193998835152,0.467788955459407,1
"SPPL2B",-0.123718184472778,6.48200060042189,0.140999722496987,0.707289168720608,1
"FAM214B",-0.466688884235838,5.13052575790716,1.35389049651893,0.244599124823596,0.852109591280966
"COPZ2",-1.03843451113896,1.44520031472939,1.10010368248249,0.294243351462766,0.947756827762155
"PRKAR2B",2.41521830792263,6.06050583351071,12.5581167103622,0.000394489108258493,0.0136209327980955
"MSL3",0.225412108120955,5.40333885611639,0.471945609248092,0.492093456422658,1
"CREBBP",0.913631093621051,6.84551238217977,6.88169993046566,0.0087082700143791,0.106179453537455
"TSPOAP1",-1.68962397377282,7.19027759763652,6.45892617773716,0.0110396339205992,0.124811241708457
"MPO",-5.13717393986781,10.7554579007918,25.2900381153491,4.93249666340852e-07,0.000120700454161556
"PON1",0.710713255253308,1.2987973050188,0.441342747779219,0.506475079222536,1
"GCFC2",-0.158556012098874,4.48224491056634,0.176390670181981,0.674493567713821,1
"WDR54",0.536571907313058,3.71483866864111,1.87282058105013,0.171152384188748,0.691028949711413
"CROT",-0.46122651854239,3.53131932678558,0.712399952389585,0.398648235358019,1
"ABCB4",2.0128119816221,1.8608501440905,7.51312216529572,0.00612511076480169,0.0838939554489942
"KMT2E",0.971296675102522,7.6286536323087,4.96833269852086,0.0258155212459826,0.214340855825158
"RHBDD2",0.0627134037683537,4.90366043946339,0.0236442018247303,0.87779368133442,1
"SOX8",-0.887912329404868,1.38270864149106,0.750455013897359,0.386332208912792,1
"ZNF195",-0.228159369567486,5.39676480887478,0.602595590454818,0.437589400927425,1
"MYCBP2",-0.0384185593007216,8.89406517319399,0.0104698825052321,0.918500741226993,1
"FBXL3",-0.0532006597546073,6.42376962811897,0.0257666397091665,0.87247154347934,1
"ITGAL",-0.519867197655011,6.92303844211692,1.16965457374732,0.279472227663692,0.921574032554395
"PDK2",-0.252838346138698,3.98698073524915,0.42863639242339,0.512658809323881,1
"ITGA3",0.77081776913953,3.2640982539497,3.34829975167231,0.0672744672932091,0.390727152975922
"ZFX",-0.439385142244991,6.71472108348235,1.82697769812499,0.176484942204626,0.702755157744751
"LAMP2",-0.499757215909747,7.67629218056521,2.54783644171299,0.110445405958593,0.53116666060336
"ITGA2B",1.47011187723531,6.13885029047212,4.15048493899042,0.0416226019427161,0.287733152612623
"ASB4",0.214048421134759,1.63354878574265,0.0798801494003807,0.777459894290334,1
"GDE1",-0.394002901461722,6.2220632826228,1.50407320022508,0.220045695655603,0.802993730149386
"REX1BD",-0.650494209589738,5.48323023386719,5.14492736990456,0.0233143856636493,0.201045028309351
"CRLF1",0.19015245451853,1.16407751109279,0.0267968472252216,0.869969344098061,1
"OSBPL7",-0.545899612380732,4.8514218601903,2.58518068221387,0.107868098775484,0.523412026048707
"TMEM98",1.33209680635049,3.50626848557007,8.23466297892117,0.00410978032085633,0.0650193736702689
"YBX2",0.555443112782459,1.18108105996723,0.231121909844657,0.630693194221095,1
"KRT33A",0,1.09982271930342,0,1,1
"MAP3K14",1.11028883295136,4.72920217588714,10.7852716042598,0.00102310891184742,0.0263534182981718
"ABCC8",0.211942342958846,1.10665681516021,0.135260682260481,0.71303874920168,1
"CACNG3",0.275870289920062,1.11616863824918,0.107177800796422,0.743380333919048,1
"TMEM132A",0.734381153290548,1.95333535124104,1.55624133830199,0.212216410333483,0.787660996144613
"AP2B1",0.132196762542909,7.33903983603257,0.183379460904794,0.668484927943425,1
"TAC1",0,1.09982271930342,0,1,1
"ZNF263",-0.592254426378618,5.79148431719939,4.54703371939443,0.0329758271460192,0.248708021401046
"CX3CL1",1.61955628381578,2.30884491031975,9.80345720614728,0.00174184102557659,0.0373441235877906
"SPATA20",-0.864356444319008,5.65394809595433,3.53450042762503,0.0601044378819331,0.362445704101271
"CACNA1G",0.130003375623409,1.27354558633075,0.0132156878617744,0.908477219259167,1
"TNFRSF12A",1.70331780309586,2.81040005009499,7.2244559714249,0.00719169642101233,0.0937316378190291
